연번,시군,보건소명,주소,전화번호
1,포항시 남구,포항시남구보건소,경상북도 포항시 남구 동해안로 6119,054-270-4004
2,포항시 북구,포항시북구보건소,경상북도 포항시 북구 삼흥로 98(장성동),054-270-4114
3,경주시,경주시 보건소,경상북도 경주시 양정로 300,054-779-8573
4,김천시,김천시보건소,경상북도 김천시 시청1길 221(신음동 1284번지),054-420-6471
5,안동시,안동시보건소,경상북도 안동시 서동문로 165,054-855-5986
6,구미시,구미시보건소,경상북도 구미시 선산대로 111(지산동 853-12),054-452-2582
7,구미시선산,구미시선산보건소,경상북도 구미시 선산읍 선주로 121(동부리 544-1),054-481-4661
8,영주시,영주시보건소,경상북도 영주시 시청로 1번길 19,054-631-4000
9,영천시,영천시 보건소,경상북도 영천시 옛군청1길 31,054-339-7860
10,상주시,상주시보건소,경상북도 상주시 중앙로 111(무양동),054-535-4000
11,문경시,문경시보건소,경상북도 문경시 점촌1길 9,054-550-8054
12,경산시,경산시보건소,경상북도 경산시 남매로 158,053-810-6363
13,군위군,보건소,경상북도 군위군 군위읍 군청로 70,054-380-7401
14,의성군,의성군보건소,경상북도 의성군 의성읍 구봉길 228,054-830-6660
15,청송군,보건의료원,경상북도 청송군 청송읍 의료원길19,054-870-7200
16,영양군,영양군보건소,경상북도 영양군 영양읍 동서대로 82,054-680-5113
17,영덕군,영덕군보건소,경상북도 영덕군 영덕읍 군청길 53,054-730-6822
18,청도군,청도군보건소,경상북도 청도군 화양읍 청화로 79-11,054-370-6470
19,고령군,고령군보건소,경상북도 고령군 대가야읍 왕릉로 56-5,054-954-1300
20,성주군,성주군보건소,경상북도 성주군 성주읍 성밖숲길 12,054-930-8102
21,칠곡군,칠곡군보건소,경상북도 칠곡군 왜관읍 관문로 1길 30,054-973-4000
22,예천군,예천군보건소,경상북도 예천군 예천읍 군청길 33,054-650-2308
23,봉화군,봉화군보건소,경상북도 봉화군 봉화읍 봉화로 1203,054-673-4000
24,울진군,울진군보건소, 경상북도 울진군 울진읍 읍내8길 61-8,054-789-5011
25,울릉군,울릉군보건의료원,경상북도 울릉읍 울릉순환로 396-18(도동리 571-24),054-791-4000
